time=128513,accel_x= -0.04,accel_y= -0.10,accel_z= 0.06,gyro_x= -0.01,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.69,mag_y= -15.75,mag_z= 17.50,orientation_x= 102.25,orientation_y= 79.69,orientation_y= -94.44
time=128524,accel_x= -0.05,accel_y= -0.11,accel_z= 0.04,gyro_x= -0.00,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.06,mag_z= 16.25,orientation_x= 102.25,orientation_y= 79.69,orientation_y= -94.44
time=128537,accel_x= -0.03,accel_y= -0.13,accel_z= 0.04,gyro_x= -0.00,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.06,mag_z= 16.25,orientation_x= 102.25,orientation_y= 79.69,orientation_y= -94.44
time=128549,accel_x= -0.04,accel_y= -0.11,accel_z= 0.00,gyro_x= -0.01,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.06,mag_z= 16.25,orientation_x= 102.25,orientation_y= 79.75,orientation_y= -94.44
time=128560,accel_x= -0.03,accel_y= -0.15,accel_z= 0.03,gyro_x= 0.00,gyro_y= 0.00,gyro_z= -0.00,mag_x= -38.25,mag_y= -15.06,mag_z= 16.25,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128571,accel_x= -0.01,accel_y= -0.10,accel_z= 0.02,gyro_x= 0.00,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128582,accel_x= -0.03,accel_y= -0.10,accel_z= 0.04,gyro_x= -0.00,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128593,accel_x= -0.01,accel_y= -0.13,accel_z= 0.03,gyro_x= -0.00,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128604,accel_x= -0.05,accel_y= -0.10,accel_z= 0.04,gyro_x= -0.00,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128614,accel_x= -0.03,accel_y= -0.09,accel_z= 0.04,gyro_x= -0.01,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128626,accel_x= -0.05,accel_y= -0.09,accel_z= 0.04,gyro_x= -0.01,gyro_y= 0.00,gyro_z= -0.01,mag_x= -37.88,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128638,accel_x= -0.05,accel_y= -0.09,accel_z= 0.05,gyro_x= -0.01,gyro_y= 0.00,gyro_z= -0.01,mag_x= -37.88,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128650,accel_x= -0.03,accel_y= -0.09,accel_z= 0.02,gyro_x= -0.01,gyro_y= 0.00,gyro_z= -0.01,mag_x= -37.88,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128661,accel_x= -0.05,accel_y= -0.10,accel_z= 0.02,gyro_x= -0.01,gyro_y= 0.00,gyro_z= -0.01,mag_x= -37.88,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128672,accel_x= -0.03,accel_y= -0.12,accel_z= 0.03,gyro_x= -0.01,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128683,accel_x= -0.02,accel_y= -0.12,accel_z= 0.03,gyro_x= -0.00,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128695,accel_x= -0.02,accel_y= -0.15,accel_z= 0.02,gyro_x= -0.01,gyro_y= -0.01,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128708,accel_x= -0.02,accel_y= -0.10,accel_z= 0.00,gyro_x= -0.00,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128719,accel_x= -0.02,accel_y= -0.14,accel_z= 0.05,gyro_x= -0.01,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 17.87,orientation_x= 102.19,orientation_y= 79.75,orientation_y= -94.44
time=128730,accel_x= -0.05,accel_y= -0.09,accel_z= 0.00,gyro_x= -0.01,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 17.87,orientation_x= 102.25,orientation_y= 79.75,orientation_y= -94.44
time=128742,accel_x= -0.06,accel_y= -0.14,accel_z= 0.05,gyro_x= -0.01,gyro_y= 0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 17.87,orientation_x= 102.25,orientation_y= 79.75,orientation_y= -94.44
time=128753,accel_x= -0.05,accel_y= -0.11,accel_z= 0.03,gyro_x= -0.01,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 17.87,orientation_x= 102.25,orientation_y= 79.75,orientation_y= -94.37
time=128763,accel_x= -0.06,accel_y= -0.10,accel_z= 0.05,gyro_x= -0.01,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 17.87,orientation_x= 102.25,orientation_y= 79.75,orientation_y= -94.37
